,id,type,y_index,y,centroid mean,rolloff mean,zero mean,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mel1 mean,mel1 var,mel2 mean,mel2 var,mel3 mean,mel3 var,mel4 mean,mel4 var,mel5 mean,mel5 var,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,bpm_second,bm_first,tempo_strength_second
0,00000,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1784.8082934567872,3808.0468182231107,0.08302446705426357,0.13022354245185852,0.0028334602247923613,15.995900356554266,18.772095976678404,-113.61038208007812,2569.194091796875,121.52692413330078,295.7454528808594,-19.11971664428711,234.92034912109375,42.34583282470703,150.987548828125,-6.397208213806152,167.92770385742188,17.538484573364258,309.9486389160156,13.348130226135254,369.1883850097656,3.913766860961914,60.392513275146484,1.9320764541625977,8.853432655334473,1.0055105686187744,1.5199260711669922,0.36176350712776184,0.10659264028072357,0.3676101267337799,0.08176454156637192,0.4400201439857483,0.10014551132917404,0.24469983577728271,0.04474601894617081,0.24789930880069733,0.06578239053487778,0.33563587069511414,0.0836985632777214,129.19921875,123.046875,0.6972850182834114
46,00001,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1529.0044131422758,3545.4335483284885,0.055997910610465114,0.09586014598608017,0.002374932635575533,15.976383349777755,17.616596552236015,-207.68101501464844,7768.97216796875,124.02881622314453,561.0003051757812,8.921460151672363,573.4575805664062,35.87256622314453,265.09674072265625,2.9539458751678467,279.5919494628906,11.328320503234863,154.73089599609375,4.396481513977051,78.94921875,1.5561697483062744,11.821063041687012,0.6523379683494568,3.4946694374084473,0.2728601396083832,0.7717233300209045,0.45889386534690857,0.14236247539520264,0.34912481904029846,0.08786050975322723,0.32145413756370544,0.09522215276956558,0.2119300365447998,0.05239419266581535,0.20127280056476593,0.04375565052032471,0.331534206867218,0.09676617383956909,69.83741554054055,66.25600961538461,0.5356359269626407
92,00002,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1552.8464060790948,3041.990597747093,0.07625098413275194,0.17560845613479614,0.002752899192273617,26.34366154103753,30.032548184110873,-90.77732849121094,3325.2626953125,140.43524169921875,511.0892333984375,-29.103525161743164,412.71807861328125,31.721168518066406,144.41061401367188,-14.020487785339355,155.6470184326172,27.435792922973633,359.9925537109375,14.785481452941895,303.9303894042969,9.123254776000977,112.5127182006836,7.246757507324219,99.60621643066406,3.954787492752075,46.96691131591797,0.2727973461151123,0.04476715996861458,0.19614768028259277,0.03280644863843918,0.31581932306289673,0.07394135743379593,0.4086693525314331,0.07389423251152039,0.5476319193840027,0.12264388054609299,0.32231736183166504,0.05569080635905266,78.30255681818181,151.99908088235293,0.6043313052957322
138,00003,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1070.1017335037934,2185.4949241460754,0.033293589510658916,0.14138570427894592,0.006324204616248608,29.793587450948753,25.98067092740528,-199.2149658203125,5473.70703125,150.11676025390625,457.3958740234375,5.624720096588135,257.1457214355469,26.89444351196289,158.09207153320312,1.7185041904449463,267.4380798339844,22.632061004638672,512.1483764648438,4.018418312072754,39.579044342041016,1.3807286024093628,4.731178283691406,0.3810323178768158,0.5259479284286499,0.15144431591033936,0.1109618991613388,0.3398131728172302,0.062033750116825104,0.407565176486969,0.05601036176085472,0.5244856476783752,0.10660143941640854,0.5472917556762695,0.09214407950639725,0.6572263240814209,0.11927501857280731,0.5113632678985596,0.09201140701770782,64.599609375,63.02400914634146,0.5478888309281593
184,00004,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1836.2530618795922,3582.540765806686,0.10153297601744186,0.09163642674684525,0.00230443780310452,17.063746998105536,18.75518786946958,-160.1642303466797,5194.8271484375,126.16436767578125,854.3631591796875,-35.6319580078125,333.70196533203125,22.155181884765625,193.87088012695312,-32.500343322753906,336.8419494628906,4.547688007354736,16.014915466308594,6.4434895515441895,78.04204559326172,5.089864253997803,73.05609130859375,3.2154269218444824,34.25370407104492,1.644986629486084,15.385059356689453,0.1929820477962494,0.038171399384737015,0.3174416720867157,0.10379566252231598,0.39059513807296753,0.09678661823272705,0.2559700310230255,0.07552438974380493,0.19306190311908722,0.03211391344666481,0.5312430262565613,0.13118918240070343,66.25600961538461,129.19921875,0.5444924951516017
230,00005,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1830.5975006080582,3477.770882539971,0.09388096535852714,0.10335002839565277,0.0039870524778962135,17.455918830796218,23.082463251106436,-178.16148376464844,7261.50244140625,118.23253631591797,3201.834228515625,-17.507661819458008,654.6928100585938,30.72787094116211,486.8865661621094,-21.69761085510254,433.3074951171875,12.322702407836914,198.6520538330078,9.203103065490723,638.9052734375,4.110469818115234,114.84132385253906,1.7421011924743652,31.402591705322266,0.8116704821586609,8.861018180847168,0.23769299685955048,0.08363513648509979,0.2996537983417511,0.045907046645879745,0.6165032386779785,0.14704163372516632,0.23508551716804504,0.026982415467500687,0.12348277866840363,0.01879318244755268,0.24319812655448914,0.07664797455072403,112.34714673913044,69.83741554054055,0.44012768645270345
276,00006,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1458.4852317450614,2795.2684979106107,0.07289509144864341,0.14154474437236786,0.008775892667472363,24.748351204693936,45.753790456034295,-190.41299438476562,9621.9677734375,130.2879638671875,1937.8291015625,-36.281951904296875,1307.3228759765625,32.9637336730957,479.80755615234375,11.117754936218262,1086.0858154296875,23.82461166381836,669.4876098632812,14.030435562133789,1359.7529296875,8.264991760253906,1219.2518310546875,3.886514663696289,162.5908966064453,4.854708194732666,111.99148559570312,0.42576634883880615,0.13406117260456085,0.22296234965324402,0.06116244196891785,0.13112959265708923,0.03523923456668854,0.15250684320926666,0.047854021191596985,0.24176721274852753,0.04712215065956116,0.491000771522522,0.14876078069210052,69.83741554054055,73.828125,0.42758515871713804
322,00007,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1452.0013430076103,2956.4754042514537,0.061359541545542635,0.13168926537036896,0.005536654032766819,20.2150193049595,20.677547518589485,-179.4705352783203,6585.18115234375,136.4120635986328,1481.331787109375,-26.569360733032227,588.0988159179688,39.98323059082031,353.4479675292969,5.286008834838867,651.4134521484375,25.968183517456055,921.5073852539062,7.217711925506592,226.4786376953125,5.083566665649414,529.2520141601562,2.3889000415802,100.47008514404297,1.7590593099594116,32.893741607666016,0.2596973180770874,0.06257764250040054,0.2645840644836426,0.08938668668270111,0.3256176710128784,0.09388656169176102,0.218229740858078,0.0718628540635109,0.2146947830915451,0.06528211385011673,0.29414764046669006,0.0831107646226883,89.10290948275862,95.703125,0.4790078679118677
368,00008,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1719.1693576956523,3781.3556617914246,0.0639625726744186,0.14251089096069336,0.0015067007625475526,29.49290165302322,26.489705433208062,-121.34617614746094,2628.235595703125,122.49088287353516,415.20654296875,-14.740448951721191,341.9181823730469,46.158050537109375,193.7979736328125,-8.131583213806152,176.8086700439453,18.39955711364746,163.12855529785156,6.552037715911865,67.78597259521484,3.4487781524658203,23.213050842285156,0.821564793586731,1.901819109916687,0.930755078792572,1.0296132564544678,0.31909579038619995,0.052961163222789764,0.30491402745246887,0.053817570209503174,0.3670414090156555,0.08360331505537033,0.42236536741256714,0.07562006264925003,0.5237711668014526,0.12346029281616211,0.4504854083061218,0.08989118039608002,86.1328125,172.265625,0.7058026811422842
414,00009,blues,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1818.1339738657005,3946.0679732921512,0.07925561712693799,0.08142077922821045,0.004352041520178318,14.344885655905381,16.546784164138884,-213.0594940185547,6135.0126953125,115.14025115966797,800.245361328125,-11.7488431930542,669.1054077148438,39.07218933105469,350.07159423828125,-20.355865478515625,533.1248168945312,8.1270112991333,127.69805908203125,10.334278106689453,424.80731201171875,3.735269784927368,82.31522369384766,1.6298426389694214,36.9370231628418,0.2579657733440399,0.38328346610069275,0.24893321096897125,0.08758395165205002,0.2738383114337921,0.08575602620840073,0.48926079273223877,0.1531250774860382,0.26830288767814636,0.059227582067251205,0.17931219935417175,0.04452339559793472,0.26814788579940796,0.1079799085855484,215.33203125,80.74951171875,0.5829789961050519
